,Name,Place of last residence,Total migrants,Total migrants(male),Total migrants(female)
0,Bangalore,A & N Islands,274.0,131.0,143.0
1,Bangalore,Andhra Pradesh,174863.0,94380.0,80483.0
2,Bangalore,Arunachal Pradesh,267.0,160.0,107.0
3,Bangalore,Assam,3934.0,2407.0,1527.0
4,Bangalore,Bihar,19146.0,14286.0,4860.0
5,Bangalore,Chandigargh,1131.0,560.0,571.0
6,Bangalore,Chhatisgargh,930.0,503.0,427.0
7,Bangalore,Countries in Africa,958.0,514.0,444.0
8,Bangalore,Countries in America,1389.0,738.0,651.0
9,Bangalore,Countries in Asia beyond India,9394.0,5679.0,3715.0
10,Bangalore,Countries in Europe,947.0,489.0,458.0
11,Bangalore,Countries in Oceania,204.0,108.0,96.0
12,Bangalore,Dadra & Nagar Haveli,32.0,16.0,16.0
13,Bangalore,Daman & Diu,21.0,8.0,13.0
14,Bangalore,Delhi,12957.0,6867.0,6090.0
15,Bangalore,Elsewhere in the district of enumeration,926329.0,398461.0,527868.0
16,Bangalore,Goa,1326.0,633.0,693.0
17,Bangalore,Gujarat,14538.0,7850.0,6688.0
18,Bangalore,Haryana,4397.0,2527.0,1870.0
19,Bangalore,Himachal Pradesh,1127.0,741.0,386.0
20,Bangalore,In other districts of the state of enumeration,1224115.0,604790.0,619325.0
21,Bangalore,Jammu & Kashmir,3033.0,1848.0,1185.0
22,Bangalore,Jharkhand,3096.0,2140.0,956.0
23,Bangalore,Karnataka,0.0,0.0,0.0
24,Bangalore,Kerala,119243.0,67253.0,51990.0
25,Bangalore,Lakshadweep,9.0,5.0,4.0
26,Bangalore,Last residence elsewhere in India,3054603.0,1501557.0,1553046.0
27,Bangalore,Madhya Pradesh,5842.0,3370.0,2472.0
28,Bangalore,Maharashtra,38563.0,19599.0,18964.0
29,Bangalore,Manipur,894.0,539.0,355.0
30,Bangalore,Meghalaya,540.0,284.0,256.0
31,Bangalore,Mizoram,194.0,102.0,92.0
32,Bangalore,Nagaland,359.0,212.0,147.0
33,Bangalore,Orissa,11130.0,8630.0,2500.0
34,Bangalore,Pondicherry,3026.0,1609.0,1417.0
35,Bangalore,Punjab,4624.0,2497.0,2127.0
36,Bangalore,Rajasthan,43597.0,26228.0,17369.0
37,Bangalore,Sikkim,235.0,132.0,103.0
38,Bangalore,States in India beyond the state of enumeration,904159.0,498306.0,405853.0
39,Bangalore,Tamil Nadu,386643.0,201592.0,185051.0
40,Bangalore,Total,3067495.0,1509085.0,1558410.0
41,Bangalore,Tripura,349.0,243.0,106.0
42,Bangalore,Uttar Pradesh,24150.0,15572.0,8578.0
43,Bangalore,Uttranchal,1356.0,791.0,565.0
44,Bangalore,West Bengal,22333.0,14591.0,7742.0
45,Bangalore,Within the state of enumeration but outside the place of enumeration,2150444.0,1003251.0,1147193.0
